ID,Algebra,Calculus1,Calculus2,Statistics,Probability,Measure,Functional_analysis,class
1141,64,81,87,60,74,71,60,A
1142,57,50,51,51,55,62,61,A
1143,47,48,71,60,61,68,64,A
1144,46,72,38,60,29,54,51,A
1145,49,45,63,60,66,66,61,A
1146,60,60,39,61,65,74,60,A
1147,60,43,52,63,71,72,75,A
1148,60,38,60,63,70,68,51,A
1149,61,60,66,68,80,78,71,B
1150,60,61,60,69,73,60,62,A
1151,61,66,61,69,65,69,67,A
1152,73,75,76,71,85,74,89,B
1153,70,60,71,71,87,68,61,B
1154,67,65,74,73,87,68,76,A
1155,73,60,55,76,77,74,64,A
1156,72,63,70,76,81,86,73,B
1157,74,70,61,76,68,57,61,A
1158,68,67,55,76,85,75,87,A
1159,60,68,54,76,76,76,64,B
1160,67,73,64,78,83,76,64,A
1161,63,64,71,78,69,76,62,B
1162,82,82,92,78,92,83,78,B
1163,72,68,55,78,77,68,71,B
1164,71,73,83,79,88,87,81,A
1165,64,62,76,80,81,80,74,A
1166,76,67,71,80,71,83,67,A
1167,67,46,71,80,82,69,64,B
1168,68,72,71,81,86,81,70,A
1169,73,80,85,83,79,73,62,A
1170,77,64,64,83,95,80,88,A
1171,76,75,85,83,88,82,69,B
1172,87,98,93,83,95,87,79,A
1173,63,73,61,83,72,55,62,A
1174,82,90,90,83,77,79,70,A
1175,67,62,85,83,82,83,64,A
1176,69,83,73,83,85,67,81,A
1177,85,83,88,85,85,92,85,A
1178,73,61,80,85,90,79,82,A
1179,72,76,85,85,91,71,79,B
1180,80,75,83,85,86,87,81,A
1181,62,73,76,85,79,74,67,B
1182,88,78,95,85,97,97,99,B
1183,74,81,87,86,82,80,73,A
1184,64,55,71,86,67,72,73,A
1185,84,62,80,86,78,84,73,B
1186,80,78,90,87,90,87,91,A
1187,60,60,73,87,82,74,64,A
1188,66,80,83,87,79,69,60,A
1189,68,80,92,87,80,83,64,A
1190,67,71,80,87,87,83,67,A
1191,82,72,77,87,82,92,71,A
1192,76,61,77,87,90,91,76,B
1193,70,71,83,87,90,80,76,B
1194,76,53,55,87,82,80,63,A
1195,65,60,75,88,78,78,61,A
1196,87,75,91,88,95,89,94,A
1197,69,68,78,88,78,74,78,A
1198,75,80,64,88,86,86,69,B
1199,93,71,85,88,91,92,86,B
1200,62,75,80,89,75,63,74,B
1201,62,66,93,89,84,79,81,A
1202,66,60,66,89,76,75,78,A
1203,72,71,71,89,82,66,60,B
1204,73,53,88,89,81,78,68,B
1205,81,71,68,90,79,86,73,A
1206,95,76,87,90,86,94,84,A
1207,81,80,83,90,94,95,78,B
1208,82,77,86,91,75,72,85,A
1209,82,90,93,91,93,99,94,A
1210,76,88,80,91,89,75,78,A
1211,85,75,92,91,92,75,78,B
1212,88,72,85,92,94,87,60,A
1213,90,87,83,92,97,87,70,A
1214,79,48,85,92,85,88,84,A
1215,80,78,87,92,95,92,94,A
1216,95,86,96,92,95,90,95,A
1217,91,68,87,92,92,90,77,A
1218,73,73,94,92,92,81,74,A
1219,81,61,17,92,88,69,9,A
1220,87,87,92,92,90,92,84,A
1221,75,70,73,92,84,76,88,A
1222,82,77,86,92,90,80,86,B
1223,84,67,94,92,82,83,85,B
1224,76,75,83,93,85,75,89,A
1225,94,81,90,93,91,86,94,A
1226,92,73,87,94,94,96,89,B
1227,83,87,88,94,79,87,76,A
1228,95,65,97,94,97,85,85,A
1229,84,86,94,94,94,95,80,A
1230,77,60,78,94,88,90,93,A
1231,87,92,81,95,89,92,86,A
1232,92,86,94,95,95,94,84,A
1233,82,77,85,95,94,90,80,A
1234,93,82,95,95,94,100,93,A
1235,89,86,96,96,96,87,81,A
1236,82,81,97,97,88,91,68,A
1237,94,100,96,97,95,94,93,A
1238,98,90,98,97,83,93,89,A
1239,84,82,99,97,89,96,85,A
1240,87,70,95,97,91,93,82,B
1241,87,83,92,98,93,86,90,A
1242,98,77,95,98,96,88,100,B
1243,83,80,91,98,93,95,71,B
1244,92,82,91,99,94,82,78,A
1245,93,97,99,100,97,90,90,A